month,revenue,expenses,profit,customers,churn_rate
Jan 2024,142000,98000,44000,1240,2.1
Feb 2024,138000,95000,43000,1198,2.4
Mar 2024,161000,102000,59000,1345,1.8
Apr 2024,175000,108000,67000,1412,1.6
May 2024,168000,105000,63000,1389,1.9
Jun 2024,182000,111000,71000,1467,1.5
Jul 2024,194000,116000,78000,1523,1.4
Aug 2024,188000,114000,74000,1501,1.7
Sep 2024,201000,119000,82000,1578,1.3
Oct 2024,215000,124000,91000,1642,1.2
Nov 2024,228000,129000,99000,1704,1.1
Dec 2024,244000,135000,109000,1789,1.0
